"gutenberg_id" "text"
"1" 45 "ANNE OF GREEN GABLES"
"2" 45 ""
"3" 45 "By Lucy Maud Montgomery"
"4" 45 ""
"5" 45 ""
"6" 45 ""
"7" 45 "Table of Contents"
"8" 45 ""
"9" 45 "     CHAPTER I          Mrs. Rachel Lynde Is Surprised"
"10" 45 "     CHAPTER II         Matthew Cuthbert Is Surprised"
"11" 45 "     CHAPTER III        Marilla Cuthbert Is Surprised"
"12" 45 "     CHAPTER IV         Morning at Green Gables"
"13" 45 "     CHAPTER V          Anne’s History"
"14" 45 "     CHAPTER VI         Marilla Makes Up Her Mind"
"15" 45 "     CHAPTER VII        Anne Says Her Prayers"
"16" 45 "     CHAPTER VIII       Anne’s Bringing-Up Is Begun"
"17" 45 "     CHAPTER IX         Mrs. Rachel Lynde Is Properly Horrified"
"18" 45 "     CHAPTER X          Anne’s Apology"
"19" 45 "     CHAPTER XI         Anne’s Impressions of Sunday School"
"20" 45 "     CHAPTER XII        A Solemn Vow and Promise"
"21" 45 "     CHAPTER XIII       The Delights of Anticipation"
"22" 45 "     CHAPTER XIV        Anne’s Confession"
"23" 45 "     CHAPTER XV         A Tempest in the School Teapot"
"24" 45 "     CHAPTER XVI        Diana Is Invited to Tea with Tragic Results"
"25" 45 "     CHAPTER XVII       A New Interest in Life"
"26" 45 "     CHAPTER XVIII      Anne to the Rescue"
"27" 45 "     CHAPTER XIX        A Concert a Catastrophe and a Confession"
"28" 45 "     CHAPTER XX         A Good Imagination Gone Wrong"
"29" 45 "     CHAPTER XXI        A New Departure in Flavorings"
"30" 45 "     CHAPTER XXII       Anne is Invited Out to Tea"
"31" 45 "     CHAPTER XXIII      Anne Comes to Grief in an Affair of Honor"
"32" 45 "     CHAPTER XXIV       Miss Stacy and Her Pupils Get Up a Concert"
"33" 45 "     CHAPTER XXV        Matthew Insists on Puffed Sleeves"
"34" 45 "     CHAPTER XXVI       The Story Club Is Formed"
"35" 45 "     CHAPTER XXVII      Vanity and Vexation of Spirit"
"36" 45 "     CHAPTER XXVIII     An Unfortunate Lily Maid"
"37" 45 "     CHAPTER XXIX       An Epoch in Anne’s Life"
"38" 45 "     CHAPTER XXX        The Queens Class Is Organized"
"39" 45 "     CHAPTER XXXI       Where the Brook and River Meet"
"40" 45 "     CHAPTER XXXII      The Pass List Is Out"
"41" 45 "     CHAPTER XXXIII     The Hotel Concert"
"42" 45 "     CHAPTER XXXIV      A Queen’s Girl"
"43" 45 "     CHAPTER XXXV       The Winter at Queen’s"
"44" 45 "     CHAPTER XXXVI      The Glory and the Dream"
"45" 45 "     CHAPTER XXXVII     The Reaper Whose Name Is Death"
"46" 45 "     CHAPTER XXXVIII    The Bend in the road"
"47" 45 ""
"48" 45 ""
"49" 45 ""
"50" 45 ""
"51" 45 "ANNE OF GREEN GABLES"
"52" 45 ""
"53" 45 ""
"54" 45 ""
"55" 45 ""
"56" 45 "<CHAPTER I. Mrs. Rachel Lynde is Surprised>"
"57" 45 ""
"58" 45 ""
"59" 45 "MRS. Rachel Lynde lived just where the Avonlea main road dipped down"
"60" 45 "into a little hollow, fringed with alders and ladies’ eardrops and"
"61" 45 "traversed by a brook that had its source away back in the woods of the"
"62" 45 "old Cuthbert place; it was reputed to be an intricate, headlong brook"
"63" 45 "in its earlier course through those woods, with dark secrets of pool"
"64" 45 "and cascade; but by the time it reached Lynde’s Hollow it was a quiet,"
"65" 45 "well-conducted little stream, for not even a brook could run past Mrs."
"66" 45 "Rachel Lynde’s door without due regard for decency and decorum; it"
"67" 45 "probably was conscious that Mrs. Rachel was sitting at her window,"
"68" 45 "keeping a sharp eye on everything that passed, from brooks and children"
"69" 45 "up, and that if she noticed anything odd or out of place she would never"
"70" 45 "rest until she had ferreted out the whys and wherefores thereof."
"71" 45 ""
"72" 45 "There are plenty of people in Avonlea and out of it, who can attend"
"73" 45 "closely to their neighbor’s business by dint of neglecting their own;"
"74" 45 "but Mrs. Rachel Lynde was one of those capable creatures who can manage"
"75" 45 "their own concerns and those of other folks into the bargain. She was a"
"76" 45 "notable housewife; her work was always done and well done; she “ran” the"
"77" 45 "Sewing Circle, helped run the Sunday-school, and was the strongest prop"
"78" 45 "of the Church Aid Society and Foreign Missions Auxiliary. Yet with all"
"79" 45 "this Mrs. Rachel found abundant time to sit for hours at her kitchen"
"80" 45 "window, knitting “cotton warp” quilts--she had knitted sixteen of them,"
"81" 45 "as Avonlea housekeepers were wont to tell in awed voices--and keeping"
"82" 45 "a sharp eye on the main road that crossed the hollow and wound up"
"83" 45 "the steep red hill beyond. Since Avonlea occupied a little triangular"
"84" 45 "peninsula jutting out into the Gulf of St. Lawrence with water on two"
"85" 45 "sides of it, anybody who went out of it or into it had to pass over that"
"86" 45 "hill road and so run the unseen gauntlet of Mrs. Rachel’s all-seeing"
"87" 45 "eye."
"88" 45 ""
"89" 45 "She was sitting there one afternoon in early June. The sun was coming in"
"90" 45 "at the window warm and bright; the orchard on the slope below the house"
"91" 45 "was in a bridal flush of pinky-white bloom, hummed over by a myriad of"
"92" 45 "bees. Thomas Lynde--a meek little man whom Avonlea people called “Rachel"
"93" 45 "Lynde’s husband”--was sowing his late turnip seed on the hill field"
"94" 45 "beyond the barn; and Matthew Cuthbert ought to have been sowing his on"
"95" 45 "the big red brook field away over by Green Gables. Mrs. Rachel knew"
"96" 45 "that he ought because she had heard him tell Peter Morrison the evening"
"97" 45 "before in William J. Blair’s store over at Carmody that he meant to sow"
"98" 45 "his turnip seed the next afternoon. Peter had asked him, of course, for"
"99" 45 "Matthew Cuthbert had never been known to volunteer information about"
"100" 45 "anything in his whole life."
"101" 45 ""
"102" 45 "And yet here was Matthew Cuthbert, at half-past three on the afternoon"
"103" 45 "of a busy day, placidly driving over the hollow and up the hill;"
"104" 45 "moreover, he wore a white collar and his best suit of clothes, which was"
"105" 45 "plain proof that he was going out of Avonlea; and he had the buggy"
"106" 45 "and the sorrel mare, which betokened that he was going a considerable"
"107" 45 "distance. Now, where was Matthew Cuthbert going and why was he going"
"108" 45 "there?"
"109" 45 ""
"110" 45 "Had it been any other man in Avonlea, Mrs. Rachel, deftly putting this"
"111" 45 "and that together, might have given a pretty good guess as to both"
"112" 45 "questions. But Matthew so rarely went from home that it must be"
"113" 45 "something pressing and unusual which was taking him; he was the shyest"
"114" 45 "man alive and hated to have to go among strangers or to any place where"
"115" 45 "he might have to talk. Matthew, dressed up with a white collar and"
"116" 45 "driving in a buggy, was something that didn’t happen often. Mrs. Rachel,"
"117" 45 "ponder as she might, could make nothing of it and her afternoon’s"
"118" 45 "enjoyment was spoiled."
"119" 45 ""
"120" 45 "“I’ll just step over to Green Gables after tea and find out from Marilla"
"121" 45 "where he’s gone and why,” the worthy woman finally concluded. “He"
"122" 45 "doesn’t generally go to town this time of year and he _never_ visits; if"
"123" 45 "he’d run out of turnip seed he wouldn’t dress up and take the buggy to"
"124" 45 "go for more; he wasn’t driving fast enough to be going for a doctor."
"125" 45 "Yet something must have happened since last night to start him off. I’m"
"126" 45 "clean puzzled, that’s what, and I won’t know a minute’s peace of mind or"
"127" 45 "conscience until I know what has taken Matthew Cuthbert out of Avonlea"
"128" 45 "today.”"
"129" 45 ""
"130" 45 "Accordingly after tea Mrs. Rachel set out; she had not far to go; the"
"131" 45 "big, rambling, orchard-embowered house where the Cuthberts lived was a"
"132" 45 "scant quarter of a mile up the road from Lynde’s Hollow. To be sure, the"
"133" 45 "long lane made it a good deal further. Matthew Cuthbert’s father, as"
"134" 45 "shy and silent as his son after him, had got as far away as he possibly"
"135" 45 "could from his fellow men without actually retreating into the woods"
"136" 45 "when he founded his homestead. Green Gables was built at the furthest"
"137" 45 "edge of his cleared land and there it was to this day, barely visible"
"138" 45 "from the main road along which all the other Avonlea houses were so"
"139" 45 "sociably situated. Mrs. Rachel Lynde did not call living in such a place"
"140" 45 "_living_ at all."
"141" 45 ""
"142" 45 "“It’s just _staying_, that’s what,” she said as she stepped along the"
"143" 45 "deep-rutted, grassy lane bordered with wild rose bushes. “It’s no wonder"
"144" 45 "Matthew and Marilla are both a little odd, living away back here by"
